"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","","","Fri Oct 25 22:20:25 CST 2024","passed","Fri Oct 25 22:20:25 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","1330","Given The user is on the Main Page Accuweather","","Fri Oct 25 22:20:25 CST 2024","passed","Fri Oct 25 22:20:26 CST 2024","","Test Case AccuWeather: The user can type their own location","",""
"","48","Then A banner is displayed","","Fri Oct 25 22:20:26 CST 2024","passed","Fri Oct 25 22:20:26 CST 2024","","Test Case AccuWeather: The user can type their own location","",""
"","3291","Given The user is on the Main Page Accuweather","","Fri Oct 25 22:20:10 CST 2024","passed","Fri Oct 25 22:20:13 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
"","101","Then A banner is displayed","","Fri Oct 25 22:20:20 CST 2024","passed","Fri Oct 25 22:20:20 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","672","Then Search results list is displayed","","Fri Oct 25 22:20:15 CST 2024","passed","Fri Oct 25 22:20:15 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
"","157","Then A banner is displayed","","Fri Oct 25 22:20:13 CST 2024","passed","Fri Oct 25 22:20:13 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
"","225","When The user clicks on the first search result","","Fri Oct 25 22:20:22 CST 2024","passed","Fri Oct 25 22:20:22 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","20","And The user goes back to the main page","","Fri Oct 25 22:20:22 CST 2024","passed","Fri Oct 25 22:20:22 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","265","When The user clicks on the first search result","","Fri Oct 25 22:20:15 CST 2024","passed","Fri Oct 25 22:20:15 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
"","55","Then The web page is opened","","Fri Oct 25 22:20:22 CST 2024","passed","Fri Oct 25 22:20:22 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","648","Then Search results list is displayed","","Fri Oct 25 22:20:21 CST 2024","passed","Fri Oct 25 22:20:22 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","44","Then Your current location from user is displayed","","Fri Oct 25 22:20:27 CST 2024","passed","Fri Oct 25 22:20:27 CST 2024","","Test Case AccuWeather: The user can type their own location","",""
"","3","","","Fri Oct 25 22:20:18 CST 2024","passed","Fri Oct 25 22:20:18 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
"","2420","Then The City weather page header contains 'New York' from the search","","Fri Oct 25 22:20:15 CST 2024","passed","Fri Oct 25 22:20:18 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
"","1","","","Fri Oct 25 22:20:27 CST 2024","passed","Fri Oct 25 22:20:27 CST 2024","","Test Case AccuWeather: The user can type their own location","",""
"","2661","Then The City weather page header contains 'London' from the search","","Fri Oct 25 22:20:22 CST 2024","passed","Fri Oct 25 22:20:25 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","831","When The user inputs 'London' in the search field","","Fri Oct 25 22:20:20 CST 2024","passed","Fri Oct 25 22:20:21 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","435","And The user click on input field","","Fri Oct 25 22:20:26 CST 2024","passed","Fri Oct 25 22:20:27 CST 2024","","Test Case AccuWeather: The user can type their own location","",""
"","287","When The user chooses the first city in recent locations","","Fri Oct 25 22:20:22 CST 2024","passed","Fri Oct 25 22:20:22 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","2237","Given The user is on the Main Page Accuweather","","Fri Oct 25 22:20:18 CST 2024","passed","Fri Oct 25 22:20:20 CST 2024","","Test Case AccuWeather: Test Case Recent locations","",""
"","1220","When The user inputs 'New York' in the search field","","Fri Oct 25 22:20:13 CST 2024","passed","Fri Oct 25 22:20:15 CST 2024","","Test Case AccuWeather: Test Case Search city","",""
